timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.3222057316815295E11,6.856876047228179E10,-20728.25046178274,39970.11376540553,6.5209325830661385E10,2.191376322490831E11,-22307.564821741107,8969.996240608232,1.3221357965291808E11,6.8565133679117096E10,-14189.224542849073,26324.666012894344
86400.0,1.303209240767163E11,7.157781138256552E10,-22144.05914003272,34571.85877234607,6.327904634275668E10,2.199036134274179E11,-22369.32443074924,8758.963881413198,1.3096765401670871E11,7.082941588153558E10,-14647.649036256855,26081.859868697527
172800.0,1.2838865845294305E11,7.455312215902332E10,-22586.130274419676,34302.17890125875,6.134374135105522E10,2.2065126535158997E11,-22429.067832411394,8547.763009588747,1.2968244010367894E11,7.307211025815688E10,-15101.989138031051,25831.024055258236
259200.0,1.264179884066897E11,7.750512541497649E10,-23030.870314895423,34029.936428777735,5.940336112985568E10,2.213806618501249E11,-22486.80746993857,8336.387640726545,1.2835815054141566E11,7.529278658522464E10,-15552.153997147796,25572.19343251353
345600.0,1.2440903105647073E11,8.043323255127617E10,-23471.985696176795,33748.680154158086,5.745807857563705E10,2.2209178863631897E11,-22542.548661011453,8124.856030774239,1.2699515226864735E11,7.74907569065614E10,-15998.000284892863,25305.433150577664
432000.0,1.2236218304127718E11,8.333660559756552E10,-23907.782529255415,33457.3177466424,5.550806611958849E10,2.2278463299354138E11,-22596.296857979345,7913.1862657897,1.2559382457119084E11,7.966533900973022E10,-16439.38552629803,25030.811015568106
518400.0,1.202779456578353E11,8.621436091446715E10,-24337.356317948754,33155.68088412761,5.3553495716124985E10,2.2345918376037225E11,-22648.057644368353,7701.396262086422,1.2415455900595619E11,8.181585665532066E10,-16876.168151943548,24748.397485055946
604800.0,1.181568863446399E11,8.906561463073112E10,-24760.041747316725,32843.88733035328,5.1594538831701355E10,2.2411543131602493E11,-22697.836731437077,7489.50376643188,1.226777593204571E11,8.394163980580139E10,-17308.20755006246,24458.26566243554
691200.0,1.159996250915002E11,9.18894990627263E10,-25175.27598499955,32522.179957650682,4.9631366433924225E10,2.2475336756584744E11,-22745.639954772014,7277.526356298337,1.2116384136780836E11,8.604202485383354E10,-17735.364118924143,24160.491290199472
777600.0,1.1380682782065654E11,9.46851707827651E10,-25582.55441752877,32190.871871055493,4.7664148980956184E10,2.253729859263146E11,-22791.47327093513,7065.481440163882,1.1961323301718568E11,8.811635484996446E10,-18157.499319471353,23855.152742094255
864000.0,1.1157920218085806E11,9.745181556185458E10,-25981.41412193728,31850.32327492702,4.569305641120561E10,2.2597428131119574E11,-22835.342754152083,6853.386257863186,1.1802637405972992E11,9.016397972958011E10,-18574.47572818555,23542.33101414316
950400.0,1.0931749427064418E11,1.0018865188459528E11,-26371.427330600913,31500.929781913048,4.3718258133301926E10,2.2655725011595877E11,-22877.25459304894,6641.257880985905,1.164037161098738E11,9.218425653904666E10,-18986.157090155222,23222.109714515165
