timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.3257646675432257E11,6.790446903622307E10,-20524.67916787692,40072.31753614962,6.577124510608211E10,2.1891081334296725E11,-22289.17450366385,9031.501206457428,1.3256945498088034E11,6.790087766918598E10,-14054.794304911284,26393.949723701095
86400.0,1.306921621481852E11,7.092290814492131E10,-21967.713185506833,34681.33832205434,6.384252935519009E10,2.196821117869823E11,-22351.52107790916,8820.528619011442,1.3133509614032474E11,7.017124883953342E10,-14514.367410648658,26153.50528787159
172800.0,1.287750770126395E11,7.390777616597382E10,-22411.07070164638,34413.94161843828,6.190873727249382E10,2.2043508529150436E11,-22411.849892662878,8609.382105450917,1.3006134662599321E11,7.242023475901436E10,-14969.898176234186,25905.013183403895
259200.0,1.2681947620420586E11,7.686953513712204E10,-22857.111798938913,34143.99918476055,5.996981944620155E10,2.2116980783516885E11,-22470.17341816624,8398.05573818532,1.2874841677483743E11,7.464740433172797E10,-15421.295656772692,25648.507768349507
345600.0,1.2482547370011711E11,7.980759615687364E10,-23299.57588447639,33865.027932790064,5.8025948906296394E10,2.218862646706352E11,-22526.496932157588,8186.567822732636,1.2739666991067632E11,7.685206796948308E10,-15868.416284253155,25384.053417450756
432000.0,1.2279346171200288E11,8.272111952996796E10,-23736.77485008443,33575.92683483286,5.607729822087628E10,2.2258444262483582E11,-22580.825848070723,7974.936494689285,1.2600648172574573E11,7.903354176088231E10,-16311.117329360715,25111.71716257971
518400.0,1.207239368572857E11,8.560921935030193E10,-24167.805282856676,33276.522836895754,5.412403948458353E10,2.232643300842372E11,-22633.16571152938,7763.179719859484,1.2457824020600125E11,8.119114770072163E10,-16749.256953188073,24831.56868850039
604800.0,1.1861746187467223E11,8.847100913090233E10,-24592.00148763518,32966.93016059528,5.216634430733302E10,2.239259169801962E11,-22683.5221968908,7551.3152944380245,1.2311234555194139E11,8.33242139189774E10,-17182.694259253538,24543.68032755411
691200.0,1.1647465211813199E11,9.130561829056876E10,-25008.799603168893,32647.38863745772,5.0204383803336334E10,2.2456919477459024E11,-22731.901103827287,7339.360845245965,1.2160921009492908E11,8.543207490928915E10,-17611.28934580638,24248.127053256758
777600.0,1.1429616898022354E11,9.411220025429413E10,-25417.693615184846,32318.20861121722,4.82383285804215E10,2.251941564445242E11,-22778.308353960492,7127.333830017451,1.200692582089724E11,8.751407175684149E10,-18034.90335839144,23944.986472782053
864000.0,1.1208271571265729E11,9.688993741608168E10,-25818.218943916327,31979.74772274292,4.626834872963988E10,2.2580079646858362E11,-22822.74998753688,6915.251537735604,1.1849292621796132E11,8.95695523655443E10,-18453.39854265138,23634.33881831793
950400.0,1.0983503416894196E11,9.963804466937274E10,-26209.945967019354,31632.399187881554,4.429461381515869E10,2.2638911081161002E11,-22865.232160149877,6703.131089017811,1.1688066229833148E11,9.159787168442065E10,-18866.63829733823,23316.26693727192
1036800.0,1.0755390190819864E11,1.0235577215598688E11,-26592.477566364996,31276.58477913976,4.231729286443576E10,2.269590969102903E11,-22905.76113951057,6490.989436545729,1.1523292637713646E11,9.359839193309859E10,-19274.48722750875,22990.85628131489
1123200.0,1.052401294257525E11,1.0504240751116162E11,-26965.44840999781,30912.749913852724,4.033655435867098E10,2.275107536590865E11,-22944.34330226065,6278.843365542379,1.1355019002552107E11,9.557048282630078E10,-19676.811197874842,22658.19489423802
1209600.0,1.0289455740886497E11,1.0769727773286319E11,-27328.524980038197,30541.35975096804,3.8352566223528496E10,2.28044081395348E11,-22980.985130836107,6066.709494291576,1.118329363475757E11,9.751352179723586E10,-20073.47738628072,22318.373398614163
1296000.0,1.0051805397567447E11,1.1031975073832394E11,-27681.40588042995,30162.895799327653,3.636549582013107E10,2.285590818851007E11,-23015.693210375215,5854.604274700442,1.1008165986457164E11,9.942689421978836E10,-20464.35433727859,21971.484981243975
1382400.0,9.811151188440343E10,1.129092366406496E11,-28023.822189859216,29777.85280346786,3.437550993631906E10,2.2905575830843378E11,-23048.474225673872,5642.5439929023405,1.0829686639455725E11,1.013099936293926E11,-20849.312015770476,21617.625377372027
1468800.0,9.567584571482735E10,1.1546518876409688E11,-28355.537736243776,29386.73579662803,3.2382774778168926E10,2.295341152456841E11,-23079.33495818815,5430.544769899084,1.0647907292732045E11,1.0316222194249329E11,-21228.22186068676,21256.892853662466
1555200.0,9.32119890319332E10,1.1798710441006339E11,-28676.3492266167,28990.057272031354,3.03874559617708E10,2.2999415866286935E11,-23108.282283082226,5218.622562242718,1.046288074947159E11,1.0498298967447829E11,-21600.956838670023,20889.38818991583
1641600.0,9.072089154591905E10,1.2047452538307643E11,-28986.086198090157,28588.334455087253,2.838971850525643E10,2.304358958974868E11,-23135.323166325863,5006.793162752406,1.0274660903635297E11,1.0677171615597815E11,-21967.391497729368,20515.214659518155
1728000.0,8.820351628476428E10,1.2292703828539505E11,-29284.610774472265,28182.086675644416,2.6389726821078217E10,2.3085933564454337E11,-23160.46466183617,4795.072201267857,1.0083302726064565E11,1.0852782974742073E11,-22327.402020833575,20134.478008611273
1814400.0,8.566083679638483E10,1.2534427458915314E11,-29571.81722504954,27771.832847818943,2.438764470853204E10,2.3126448794248715E11,-23183.713908668018,4583.4751454366515,9.888862250124445E10,1.102507680517334E11,-22680.86627941023,19747.286433970246
1900800.0,8.309383439731506E10,1.2772591049580246E11,-29847.631329962336,27358.089068777397,2.2383635346521385E10,2.316513641591358E11,-23205.078128249414,4372.017301534777,9.691396556884396E10,1.1193997812507188E11,-23027.663886712846,19353.75055958354
1987200.0,8.05034954842376E10,1.30071666593689E11,-30112.009562081992,26941.366349074437,2.037786128655768E10,2.3201997697784518E11,-23224.564621667356,4160.713815318539,9.490963759839238E10,1.1359491668547765E11,-23367.676251024128,18953.983411923276
2073600.0,7.789080892364166E10,1.3238130732565085E11,-30364.93809913184,26522.168486774408,1.8370484445993557E10,2.3237034038367877E11,-23242.180766994174,3949.5796729073118,9.287622989170802E10,1.152150503193306E11,-23700.78662865753,18548.100393900808
