timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.3297904839166965E11,6.7143152510715324E10,-20291.45019719464,40187.8320693875,6.6412868194108635E10,2.18649694179358E11,-22267.94704902408,9101.769968469283,1.3297201597501971E11,6.713960173614326E10,-13900.75955428383,26472.283702760324
86400.0,1.3111233428784567E11,7.017222302753049E10,-21765.54492249193,34805.33137919775,6.448595769049129E10,2.1942706762721548E11,-22330.96496094306,8890.867634307631,1.3175091156383067E11,6.941685876636946E10,-14361.630242937676,26234.544510303076
172800.0,1.2921265334872102E11,7.316791659610793E10,-22210.35788985879,34540.551049617585,6.255391271822792E10,2.201861212339844E11,-22391.963354314004,8679.785169255514,1.304903007524477E11,7.167296261152794E10,-14818.506728649794,25988.737355126093
259200.0,1.272743308711142E11,7.614072854700482E10,-22657.871094344755,34273.24436196637,6.0616684225110725E10,2.2092692914802686E11,-22450.954729954712,8468.516710884745,1.2919039125710541E11,7.390748119446098E10,-15271.297962805696,25734.896022169745
345600.0,1.2529747724216357E11,7.909006965339609E10,-23101.8618074012,33996.892003943445,5.867444539246019E10,2.2164947609400894E11,-22507.94431958601,8257.080621372372,1.2785154226298988E11,7.61197230857504E10,-15719.860109263002,25473.08399970583
432000.0,1.2328247960544939E11,8.201509827756317E10,-23540.648579164517,33710.38304885419,5.672736894363593E10,2.2235374837572906E11,-22562.937491801138,8045.495092943874,1.2647412534760938E11,7.83090024562258E10,-16164.050153411623,25203.367434315485
518400.0,1.2122982921909325E11,8.491492595358293E10,-23973.329264251774,33413.539044320605,5.477562713236649E10,2.2303973386142532E11,-22615.939748547058,7833.778147983201,1.2505852440758989E11,8.047463930648882E10,-16603.72595377689,24925.815127002043
604800.0,1.1914008343687756E11,8.778866323614561E10,-24399.237755880673,33106.47016366264,5.281939173137685E10,2.2370742196920648E11,-22666.956721651288,7621.947639197863,1.2360513558098917E11,8.261595969604015E10,-17038.746293937023,24640.498528238542
691200.0,1.1701385229908278E11,9.063543626338092E10,-24817.809037106555,32789.412758731334,5.085883402131364E10,2.2435680365230695E11,-22715.994169391673,7410.021249837602,1.2211436716512672E11,8.473229597194768E10,-17468.970934736135,24347.491731929134
777600.0,1.1485179200422679E11,9.345439489368593E10,-25228.535511416136,32462.67401050796,4.88941247799685E10,2.2498787138438113E11,-22763.057973110775,7198.01649396385,1.2058663952987874E11,8.682298699693405E10,-17894.260666764745,24046.871468265905
864000.0,1.1265460076000752E11,9.62447176912867E10,-25630.95072317319,32126.60862141826,4.692543427178918E10,2.2560061914518597E11,-22808.15413388065,6985.950716769701,1.1902238502642839E11,8.888737837680621E10,-18314.477363086033,23738.717095463213
