timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.326775279845741E11,6.7714351620772514E10,-20466.429240710902,40101.32524839418,6.5931708141802155E10,2.188457232832521E11,-22283.88864123505,9049.070684109058,1.3267051102797867E11,6.7710770391355385E10,-14016.325447141005,26413.618033985746
86400.0,1.3079761563164345E11,7.073545838759744E10,-21917.23386489586,34712.449345749534,6.400344189024127E10,2.1961854066744882E11,-22346.402998061287,8838.115465491375,1.3143946228765909E11,6.998287032936852E10,-14476.22446122006,26173.84929765815
172800.0,1.2888487606072447E11,7.372304250751689E10,-22360.956714908814,34445.70603507127,6.2070084777418594E10,2.2037303437000522E11,-22406.89915414475,8626.98477135877,1.3016899381200705E11,7.223364297810428E10,-14932.09316167845,25926.027791503595
259200.0,1.2693358922266055E11,7.668757437502348E10,-22807.36732163931,34176.42182831206,6.013158748135592E10,2.2110927841215332E11,-22465.389587402173,8415.672690388526,1.2885931528307584E11,7.44626569948E10,-15383.8405773356,25670.187730248057
345600.0,1.2494386819713783E11,7.962846500526488E10,-23250.21454015841,33898.10455931336,5.818812306999475E10,2.218272579147261E11,-22521.879564104827,8204.197542262771,1.2751078899075172E11,7.666922232856511E10,-15831.323072612973,25406.393267047762
432000.0,1.2291610392959988E11,8.254487421447777E10,-23687.8119217148,33609.65072158584,5.623986415036941E10,2.225269595740095E11,-22576.37448651272,7992.577476733983,1.2612378959935976E11,7.885265458616783E10,-16274.397846333744,25134.711212494563
518400.0,1.2085079169878807E11,8.543591545353224E10,-24119.2563673376,33310.88591058439,5.428698285701188E10,2.232083716470768E11,-22628.879889366533,7780.830473749349,1.246987040733417E11,8.101227526147017E10,-16712.922983407298,24855.21103046629
604800.0,1.1874849289854414E11,8.830070149276222E10,-24543.88207667225,33001.92333586216,5.232965084065396E10,2.2387148393713388E11,-22679.40143642675,7568.97434362954,1.2323593159845132E11,8.314741196444843E10,-17146.757506822272,24567.964832902086
691200.0,1.1660982155596837E11,9.113836092771298E10,-24961.1248975257,32683.001959468995,5.036803925722796E10,2.2451628777902524E11,-22727.94491705216,7357.026727299889,1.2173588349845232E11,8.525739864972502E10,-17575.76142992973,24273.04737349165
777600.0,1.1443543776682559E11,9.394804628869305E10,-25370.478418196704,32354.431335142,4.8402318757161026E10,2.251427760241732E11,-22774.516242829384,7145.005096572908,1.201989831472801E11,8.734157584450027E10,-17999.795808986106,23970.536040251707
