timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.3001445103104404E11,7.251705240211296E10,-21939.483406727784,39334.884644970756,6.182827430873826E10,2.2046597721800644E11,-22414.31318289383,8600.604753380121,1.3000757087289563E11,7.251321491493346E10,-14988.737457646937,25894.514272680077
86400.0,1.2802368448965007E11,7.546810513475937E10,-23191.0506713058,33895.79271622874,5.988892252478311E10,2.2120002497989526E11,-22472.560124962198,8389.246840762873,1.2869286641871269E11,7.473971941459883E10,-15440.012063850652,25637.647084096163
172800.0,1.2600130440301111E11,7.838441993656836E10,-23625.152689307884,33612.53826993852,5.7944849370021545E10,2.219157204474496E11,-22528.80042169139,8177.752588880974,1.2733951024656865E11,7.69434304230708E10,-15886.9513856993,25372.862963815198
259200.0,1.2394120919937227E11,8.127624715434453E10,-24061.833602995994,33326.62157797899,5.5996003249886765E10,2.226131365188031E11,-22583.046348794884,7966.115676372399,1.2594772867482233E11,7.912392321546237E10,-16329.465197083766,25100.199790161216
345600.0,1.2184353483973929E11,8.414300035046025E10,-24494.605185754703,33031.78648048174,5.4042556239047424E10,2.2329226164509814E11,-22635.303457329155,7754.354061970363,1.2451791019998067E11,8.128052003763354E10,-16767.411697323823,24819.727358327596
432000.0,1.1970870437861145E11,8.698385239809338E10,-24921.73976074407,32726.993509157925,5.208467992698099E10,2.239530858217392E11,-22685.57742694071,7542.485534807282,1.2305045552969781E11,8.3412549280155E10,-17200.650030338802,24531.51811083999
518400.0,1.1753724698291641E11,8.979793378348505E10,-25342.326841378555,32412.102888953243,5.0122545407011024E10,2.2459560057403616E11,-22733.874062450002,7330.527714652927,1.2154577749890553E11,8.551934570676886E10,-17629.04033696389,24235.647131107915
604800.0,1.1532975804605504E11,9.258437686025174E10,-25755.703787903556,32087.253627803,4.815632326563861E10,2.2521979894193234E11,-22780.199290487424,7118.4980522030555,1.200043009814074E11,8.760025068224324E10,-18052.4438075258,23932.19213586125
691200.0,1.130868850973559E11,9.534233185645255E10,-26161.31428721414,31752.706760851608,4.6186183572161545E10,2.2582567546626566E11,-22824.55915617067,6906.413829417541,1.1842646279692455E11,8.965461239951973E10,-18470.722734653566,23621.233466458805
777600.0,1.1080932093297313E11,9.807097474551364E10,-26558.662450125936,31408.791836151853,4.421229586857839E10,2.264132261734655E11,-22866.959819829037,6694.292159907561,1.1681271161356897E11,9.168178610606828E10,-18883.74056629882,23302.85407904604
864000.0,1.0849779925293643E11,1.0076951206552719E11,-26947.295595197436,31055.884284170872,4.223482915977479E10,2.2698244856125818E11,-22907.40755377551,6482.149989367472,1.1516350784572296E11,9.368113432933778E10,-19291.361958937672,22977.13953354952
950400.0,1.0615309126974973E11,1.0343718433868613E11,-27326.797367857223,30694.393919786082,4.025395190398681E10,2.2753334158450912E11,-22945.9087391223,6270.004096053859,1.1347932354732182E11,9.565202710120227E10,-19693.452830927334,22644.1779814844
1036800.0,1.0377600270504399E11,1.0607326872137926E11,-27696.785046150853,30324.758001774506,3.8269832003534035E10,2.2806590564039178E11,-22982.46986264599,6057.8710913066225,1.1176064230051567E11,9.759384218130435E10,-20089.880415988166,22304.06015256531
1123200.0,1.0136737093031705E11,1.0867708115400867E11,-28056.90865364943,29947.436335440172,3.628263679582497E10,2.2858014255413574E11,-23017.09751369778,5845.76742011334,1.1000795909971068E11,9.950596527919344E10,-20480.51331678214,21956.879340101892
1209600.0,9.892806214578911E10,1.1124797813496329E11,-28406.85085193662,29562.90735648986,3.4292533044627415E10,2.290760555644369E11,-23049.798381160483,5633.709361713809,1.0822178023097302E11,1.0138779027514053E11,-20865.2215585573,21602.73138516295
1296000.0,9.645896855338324E10,1.1378535818018607E11,-28746.32712922197,29171.664716109488,3.229968693159772E10,2.2955364930968854E11,-23080.57925045341,5421.713030243894,1.0640262314679709E11,1.0323871943953992E11,-21243.87664282716,21241.714659500503
1382400.0,9.39610055098731E10,1.1628866300068451E11,-29075.086042287516,28774.214141943823,3.0304264048068203E10,2.3001292981330624E11,-23109.44700058189,5209.794375418856,1.0455101633624199E11,1.0505816365077428E11,-21616.35160105336,20873.93004721361
1468800.0,9.143510866167215E10,1.1875737841667883E11,-29392.90938438028,28371.070469333376,2.8306429387086464E10,2.30453904469655E11,-23136.408601236853,4997.969183251795,1.0266749919042339E11,1.0684554261144429E11,-21982.52104829895,20499.480925144697
1555200.0,8.888223107090001E10,1.2119103502080476E11,-29699.612211266616,27962.754796442863,2.630634733570437E10,2.308765820299756E11,-23161.471109938626,4786.253076808454,1.0075262186337141E11,1.0860028506284941E11,-22342.26123681802,20118.473141995884
1641600.0,8.630334034665625E10,1.2358920860022208E11,-29995.042690645532,27549.791747334206,2.4304181667510963E10,2.312809725884086E11,-23184.641669229233,4574.661516995968,9.880694512827086E10,1.1032182899760735E11,-22695.450109549598,19731.014996152648
1728000.0,8.369941579754108E10,1.2595152032687555E11,-30279.0817596118,27132.706842818778,2.2300095535406456E10,2.316670875678412E11,-23205.927503909574,4363.209803384798,9.683104022907626E10,1.1200962187030203E11,-23041.96735347916,19337.21721221009
1814400.0,8.107144562221344E10,1.2827763672551825E11,-30551.64258708728,26712.023986854547,2.0294251464612465E10,2.3203493970616205E11,-23225.335918327368,4151.913075061881,9.482548872752954E10,1.1366312080604909E11,-23381.69445283403,18937.192916187505
1900800.0,7.842042415465228E10,1.3056726942995143E11,-30812.669846220328,26288.263079814897,1.8286811345914913E10,2.3238454304235373E11,-23242.87429370566,3940.786311514625,9.279088234558473E10,1.1528179280685579E11,-23714.514742075746,18531.05760942981
1987200.0,7.574734918013228E10,1.3282017473896976E11,-31062.138807267078,25861.93777094022,1.6277936429135439E10,2.3271591290277798E11,-23258.550085523446,3729.8443335439747,9.072782280326808E10,1.1686511495568042E11,-24040.313458651846,18118.929141184148
2073600.0,7.305321933683038E10,1.3503615298457112E11,-31300.05426529743,25433.553361760914,1.4267787316827118E10,2.3302906588748044E11,-23272.370820939075,3519.101804205611,8.863692165199367E10,1.1841257461805357E11,-24358.97779547164,17700.927679848442
2160000.0,7.033903161660168E10,1.372150477259148E11,-31526.44931971204,25003.60487082272,1.2256523958191713E10,2.3332401985658746E11,-23284.344096260902,3308.5732297781033,8.651880010334935E10,1.1992366964116478E11,-24670.396953068474,17277.175682891397
2246400.0,6.760577897694405E10,1.393567447833471E11,-31741.384024282543,24572.575268077806,1.0244305643211805E10,2.3360079391692685E11,-23294.477574465567,3098.2729607568117,8.437408885340524E10,1.2139790855029059E11,-24974.46219140905,16847.79786543524
2332800.0,6.485444807448118E10,1.4146117112743097E11,-31944.943927453096,24140.93388502279,8.231290996996865E9,2.3385940840838705E11,-23302.77898275794,2888.2151928726353,8.220342790254524E10,1.2283481074245073E11,-25271.06688130947,16412.9211675011
2419200.0,6.2086017128577065E10,1.4352829363837204E11,-32137.238523062966,23709.135004307333,6.217637974337364E9,2.340998848908357E11,-23309.256110181475,2678.413968134093,8.00074663708934E10,1.2423390667717497E11,-25560.10655542523,15972.674719920913
2505600.0,5.9301453921958534E10,1.4555811775140543E11,-32318.399631597076,23277.616630153163,4.203503854463625E9,2.343222461306965E11,-23313.916805270415,2468.8831758923793,7.778686230933841E10,1.2559473806427177E11,-25841.478958767628,15527.189808910885
2592000.0,5.650171394348426E10,1.4755068600361932E11,-32488.57973160307,22846.79943867206,2.1890452360057974E9,2.3452651608787738E11,-23316.76897374713,2259.636553927478,7.554228250622423E10,1.2691685804847006E11,-26115.084098714673,15076.599839311051
2678400.0,5.36877386765524E10,1.4950607649792108E11,-32647.95026011818,22417.08590505143,1.7441803215028396E8,2.3471271990276572E11,-23317.82057626749,2050.6876895552746,7.32744022897405E10,1.2819983139083578E11,-26380.824294470105,14621.040296494815
2764800.0,5.086045403504469E10,1.5142440129895258E11,-32796.699899871615,21988.859602687986,-1.8402225340103788E9,2.3488088388320538E11,-23317.079626207127,1842.0500207536254,7.098390532606436E10,1.2944323464683755E11,-26638.60422593208,14160.648706952325
2851200.0,4.8020768947234215E10,1.5330580477568668E11,-32935.0328697452,21562.484667671793,-3.854721933938617E9,2.3503103549167462E11,-23314.554187493253,1633.736837307576,6.867148341331169E10,1.3064665634094463E11,-26888.33098193635,13695.564597553204
2937600.0,4.5169574086701E10,1.5515046190460083E11,-33063.16723354087,21138.305420614288,-5.868926337927267E9,2.3516320333253378E11,-23310.252372480103,1425.761281971747,6.633783627133746E10,1.3180969713765764E11,-27129.91410782466,13225.929453497904
3024000.0,4.230774074809479E10,1.5695857654665314E11,-33181.33324055045,20716.64613665223,-7.882682619193834E9,2.352774171393383E11,-23304.182339869316,1218.1363516495653,6.398367132747169E10,1.3293197000884058E11,-27363.265652304217,12751.886674963525
3110400.0,3.943611986446112E10,1.5873037971042868E11,-33289.77170982356,20297.810953545384,-9.895838357796078E9,2.353737077623668E11,-23296.352292671316,1010.8748985883218,6.160970349822752E10,1.3401310039725725E11,-27588.300213554165,12273.581532457421
3196800.0,3.655554116190611E10,1.6046612781292615E11,-33388.732468398004,19882.08390713643,-1.190824184437397E10,2.3545210715611893E11,-23286.77047621091,803.9896315890333,5.9216654967063354E10,1.350527263761934E11,-27804.93498454119,11791.16112088807
3283200.0,3.366681244654485E10,1.6216610094849942E11,-33478.47285215005,19469.729082996484,-1.3919742083721397E10,2.3551264836691953E11,-23275.445176175548,597.4931172304123,5.680525495826618E10,1.3605049880505414E11,-28013.08979749976,11304.77431236616
3369600.0,3.0770719018017033E10,1.6383060117553055E11,-33559.256276345084,19060.990872866903,-1.5930188798190222E10,2.3555536552084048E11,-23262.384716704724,391.3977811060436,5.437623950702834E10,1.3700608148082983E11,-28212.687167541444,10814.571707752151
3456000.0,2.7868023203283924E10,1.6545995082935388E11,-33631.35088149562,18656.09432447583,-1.7939432430931675E10,2.355802938113965E11,-23247.59745852246,185.71590907391712,5.1930351225796455E10,1.379191512853244E11,-28403.652335347648,10320.705586963675
3542400.0,2.495946400401795E10,1.6705449086904388E11,-33695.028258689454,18255.245573443415,-1.9947324148978397E10,2.3558746948766333E11,-23231.091797110545,-19.540351482378558,4.946833906697032E10,1.3878939832803183E11,-28585.9133089097,9823.329858062005
3628800.0,2.2045756850580097E10,1.6861457926466922E11,-33750.56225729086,17858.632346274968,-2.19537158461688E10,2.3557692984229715E11,-23212.876160921227,-224.3589903816871,4.699095808204252E10,1.3961652608456488E11,-28759.40090427584,9322.600005136142
3715200.0,1.912759345539108E10,1.7014058943068365E11,-33798.227876679666,17466.424523839443,-2.3958460145922256E10,2.355487131997428E11,-23192.959009633745,-428.7281333632089,4.449896917725653E10,1.4040025153053394E11,-28924.048785262483,8818.67303500169
3801600.0,1.620564175839836E10,1.71632908710257E11,-33838.30024265635,17078.77475523748,-2.5961410403861225E10,2.3550285890456897E11,-23171.348832448948,-632.6360407951023,4.199313886588361E10,1.411403052707634E11,-29079.793502095526,8311.70742274184
3888000.0,1.3280545957333763E10,1.7309193691447388E11,-33871.05366817663,16695.819112533332,-2.796242071028985E10,2.3543940730986627E11,-23148.05414642228,-836.0711063744419,3.9474239017208046E10,1.4183643166375388E11,-29226.574528938178,7801.8630561077825
3974400.0,1.0352926615519943E10,1.7451808491953693E11,-33896.760797252085,16317.677777459205,-2.9961345892531143E10,2.3535839976581247E11,-23123.083494840615,-1039.021855819283,3.694304660231769E10,1.4248838894130563E11,-29364.334300272232,7289.301178806243
4060800.0,7.423380840115874E9,1.7591177332440717E11,-33915.69183014262,15944.455751878562,-3.1958041517124565E10,2.3525987860829688E11,-23096.44544563286,-1241.4769455533956,3.4400343436804726E10,1.4309594932316144E11,-29493.01824608953,6774.184332699248
4147200.0,4.492482523880371E9,1.772734311705466E11,-33928.11382738119,15576.243584475484,-3.3952363891885834E10,2.3514388714770667E11,-23068.148589822027,-1443.425161384581,3.1846915920475685E10,1.436588991266583E11,-29612.57482586212,6256.676298943339
4233600.0,1.560782643768059E9,1.786034947249279E11,-33934.29008966712,15213.118106850303,-3.594417006783913E10,2.350104696577883E11,-23038.201540014856,-1644.8554171767903,2.9283554774184036E10,1.4417703887120538E11,-29722.955561250925,5736.9420380966485
4320000.0,-1.3711903900565002E9,1.7990240632681677E11,-33934.47961029755,14855.14317288786,-3.793331784101741E10,2.348596713646206E11,-23006.612928927618,-1845.7567535171843,2.6711054773889275E10,1.4465018337756345E11,-29824.11506751974,5215.14762922413
4406400.0,-4.302930340898312E9,1.8117061329837234E11,-33928.93659649265,14502.370395950707,-3.991966575413632E10,2.3469153843579495E11,-22973.391407951236,-2046.1183363782761,2.4130214482060097E10,1.4507816186182727E11,-29916.011083617843,4691.460208032578
4492800.0,-7.233952713691737E9,1.824085669186846E11,-33917.910055763874,14154.83987910558,-4.190307309814858E10,2.345061179695619E11,-22938.54564575043,-2245.9294557762173,2.154183597653874E10,1.4546081802399582E11,-29998.604500899866,4166.04790406785
4579200.0,-1.016379429008965E10,1.83616721460436E11,-33901.643443345274,13812.580934220758,-4.388339991367664E10,2.3430345798421497E11,-22902.08432690192,-2445.1795244252817,1.8946724576980637E10,1.4579801013111047E11,-30071.859390446913,3639.079777008125
4665600.0,-1.309201263558217E10,1.8479553328809372E11,-33880.37436661808,13475.612786363112,-4.586050699232882E10,2.340836074075334E11,-22864.016150565123,-2643.8580763896357,1.6345688568999865E10,1.4608961109483646E11,-30135.743028959852,3110.7257520890425
4752000.0,-1.6018185583393261E10,1.8594546001621274E11,-33854.33434245795,13143.945260483822,-4.783425587790539E10,2.3384661606637085E11,-22824.34982918925,-2841.954765732691,1.373953892613462E10,1.4633550854340472E11,-30190.225923191207,2581.1565546968463
4838400.0,-1.8941910699551945E10,1.8706695972620978E11,-33823.74860345145,12817.579447890774,-4.980450886749013E10,2.3359253467632446E11,-22783.09408725628,-3039.4593651645237,1.112908902977057E10,1.465356048879106E11,-30235.281832887867,2050.543644167484
4924800.0,-2.186280473318883E10,1.8816049023977133E11,-33788.8359490172,12496.508350483997,-5.177112901243801E10,2.3332141483154092E11,-22740.25766005708,-3236.361764688132,8.515154387144972E9,1.4668981738284134E11,-30270.88779221451,1519.0591468307664
5011200.0,-2.4780503055770763E10,1.8922650844691354E11,-33749.80863756165,12180.717501158764,-5.373398011925739E10,2.330333089946774E11,-22695.849292500803,-3432.651970244944,5.898552347567286E9,1.4679807818076993E11,-30297.02412962906,986.8757883392783
5097600.0,-2.7694659092652725E10,1.9026546968655273E11,-33706.87231593421,11870.185559173775,-5.569292675038977E10,2.3272827048690466E11,-22649.87773795745,-3628.320102360003,3.2801018169901147E9,1.468603343812021E11,-30313.67448618797,454.16682532366457
5184000.0,-3.0604943750019215E10,1.912778271774237E11,-33660.225982607946,11564.88487962934,-5.764783422489355E10,2.3240635347808237E11,-22602.351757133783,-3823.356394787486,6.606229710671904E8,1.4687654807349744E11,-30320.82583224978,-78.89402358358656
5270400.0,-3.351104483997764E10,1.922640314970489E11,-33610.06198118223,11264.782056512522,-5.9598568619028656E10,2.320676129770232E11,-22553.280116980925,-4017.751193157262,-1.9590630331612804E9,1.4684669637374335E11,-30318.468482559383,-612.1326473126712
5356800.0,-3.641266650628279E10,1.9322453010647406E11,-33556.56602097016,10969.83843903956,-6.1544996766752655E10,2.3171210482190366E11,-22502.671589633977,-4211.494953622285,-4.578134346816422E9,1.4677077145563535E11,-30306.596109687063,-1145.3746124642787
5443200.0,-3.93095286529E10,1.941597669184654E11,-33499.91722165544,10680.010621270225,-6.348698626012037E10,2.3133988567075018E11,-22450.534951382753,-4404.578241508071,-7.195768719817288E9,1.4664878057527042E11,-30285.20575579956,-1678.4452339181028
5529600.0,-4.2201366377364586E10,1.9507018190685593E11,-33440.28817915646,10395.250905166065,-6.54244054496033E10,2.3095101299208957E11,-22396.8789816732,-4596.991729964669,-9.811143792461897E9,1.4648074608993723E11,-30254.297842747997,-2211.1696458910546
5616000.0,-4.50879294106511E10,1.9595621075477496E11,-33377.845050074706,10115.507737457881,-6.735712344431768E10,2.3054554505568082E11,-22341.71246213773,-4788.7261986211815,-1.2423437387806683E10,1.46266705470536E11,-30213.87618045287,-2743.372873403312
5702400.0,-4.796898156505419E10,1.968182845394913E11,-33312.7476522484,9840.726120823623,-6.92850101121729E10,2.3012354092336087E11,-22285.044175658713,-4979.772532243433,-1.5031827804695944E10,1.460067113079176E11,-30163.947973566123,-3274.8799041015272
5788800.0,-5.084430019136778E10,1.9765682945171814E11,-33245.1495791745,9570.848000018486,-7.12079360799403E10,2.296850604400241E11,-22226.88290545787,-5170.121719395489,-1.7635494111291954E10,1.457008313130345E11,-30104.523826399385,-3805.515760392059
5875200.0,-5.371367564647924E10,1.9847226654719733E11,-33175.19832620452,9305.812623699252,-7.312577273324657E10,2.2923016422474527E11,-22167.23743421599,-5359.764851105473,-2.0233616438955353E10,1.4534914831078662E11,-30035.61774610491,-4335.10557183448
5961600.0,-5.657691077229995E10,1.9926501152855157E11,-33103.03542662192,9045.556882775909,-7.503839221648618E10,2.2875891366191122E11,-22106.116543221433,-5548.693119535853,-2.2825376276325462E10,1.449517602276499E11,-29957.24714409076,-4863.474647746448
6048000.0,-5.9433820386823326E10,2.000354745553664E11,-33028.796595875836,8790.015626199143,-7.694566743266574E10,2.2827137089263422E11,-22043.529011545692,-5736.897816658739,-2.540995676344403E10,1.44508780072974E11,-29869.432835672415,-5390.448549968392
6134400.0,-6.22842307879358E10,2.0078406008063474E11,-32952.61188240993,8539.12195515537,-7.884747204318375E10,2.2776759880609592E11,-21979.48361524864,-5924.370332936909,-2.7986542985774788E10,1.4402033591404868E11,-29772.199037935556,-5915.85316573946
6220800.0,-6.512797927049709E10,2.0151116671170773E11,-32874.605823688464,8292.807496703152,-8.074368046752617E10,2.2724766103115512E11,-21913.989126607757,-6111.102156010366,-3.0554322267960297E10,1.4348657084481393E11,-29665.573365821238,-6439.514780631508
6307200.0,-6.7964913657076385E10,2.0221718709405377E11,-32794.89760616036,8051.002657939624,-8.263416788291815E10,2.2671162192798557E11,-21847.054313378336,-6297.084869389324,-3.311248446716095E10,1.4290764294830936E11,-29549.586826411964,-6961.260151490967
6393600.0,-7.079489184264005E10,2.0290250781616315E11,-32713.601228070693,7813.636861861911,-8.451881022389601E10,2.2615954657984836E11,-21778.6879380763,-6482.310151154081,-3.5660222265826866E10,1.4228372525278812E11,-29424.273811426072,-7480.916579336638
6480000.0,-7.361778135339781E10,2.035675093340926E11,-32630.82566413935,7580.638766174299,-8.639748418182607E10,2.2559150078497592E11,-21708.898757291463,-6666.7697726611395,-3.819673146373983E10,1.416150056815793E11,-29289.672087915264,-7998.311982161248
6566400.0,-7.643345891992241E10,2.0421256591423898E11,-32546.67503128388,7351.936466432886,-8.82700672043645E10,2.25007551048569E11,-21637.695521022393,-6850.455597257381,-4.072121126917649E10,1.409016869966225E11,-29145.82278716343,-8513.274967584657
6652800.0,-7.924181006460806E10,2.0483804559301306E11,-32461.248754681434,7127.45768513707,-9.013643749485924E10,2.244077645749246E11,-21565.086972040866,-7033.359579001341,-4.32328645890335E10,1.401439867357559E11,-28992.770391791255,-9025.634905307406
6739200.0,-8.204272870347586E10,2.0544431015235083E11,-32374.641733585217,6907.129948730632,-9.199647401169969E10,2.237922092596228E11,-21491.08184527922,-7215.47376139233,-4.573089831776118E10,1.3934213714375507E11,-28830.562721067894,-9535.221999310992
6825600.0,-8.483611676226537E10,2.060317151100573E11,-32286.94450642103,6690.880755092467,-9.385005646761452E10,2.2316095368187112E11,-21415.688867243654,-7396.790276107611,-4.821452362495043E10,1.3849638509714185E11,-28659.250914437805,-10041.867359753716
6912000.0,-8.762188380675845E10,2.066006097243515E11,-32198.24341472017,6478.637735155548,-9.569706532891615E10,2.225140670969293E11,-21338.916755452647,-7577.301341747908,-5.0682956241422424E10,1.3760699202279514E11,-28478.88941326619,-10545.403074510215
6998400.0,-9.039994668718672E10,2.0715133701230176E11,-32108.620765374697,6270.328814213422,-9.753738181470332E10,2.218516194286647E11,-21260.774217900624,-7756.999262590996,-5.31354167436599E10,1.366742338103997E11,-28289.535940815946,-11045.662280302475
7084800.0,-9.317022919656146E10,2.076842337824973E11,-32018.154990190727,6065.88238201552,-9.937088789601895E10,2.211736812622036E11,-21181.269952544102,-7935.876427354367,-5.557113083643609E10,1.356984007187788E11,-28091.2514804628,-11542.479233370617
7171200.0,-9.593266174257855E10,2.0819963068334113E11,-31926.920800175896,5865.227487527653,-1.0119746629495143E11,2.2048032383667914E11,-21100.412646814115,-8113.925307965706,-5.7989329633483986E10,1.3467979727611905E11,-27884.10025216461,-12035.68937963324
7257600.0,-9.868718103241E10,2.0869785227019293E11,-31834.989327379226,5668.294087610669,-1.0301700048371751E11,2.1977161903810168E11,-21018.210977150764,-8291.138458342914,-6.0389249936056915E10,1.3361874217417989E11,-27668.149687195684,-12525.129424284982
7344000.0,-1.0143372976855699E11,2.0917921709823938E11,-31742.428233597966,5475.013406038287,-1.0482937468368407E11,2.1904763939230475E11,-20934.673608561923,-8467.508513182254,-6.277013450923457E10,1.3251556815650574E11,-27443.470401164006,-13010.637400782436
7430400.0,-1.0417225635070511E11,2.096440378548566E11,-31649.30172431972,5285.318515040977,-1.0663447386437117E11,2.1830845805807434E11,-20849.809194205565,-8643.028186755597,-6.5131232355822945E10,1.3137062190070728E11,-27210.136165328917,-13492.052739167812
7516800.0,-1.069027145687255E11,2.1009262155925674E11,-31555.670276473902,5099.145360268083,-1.0843218374239622E11,2.1755414882026068E11,-20763.626374996373,-8817.690271716203,-6.747179898769987E10,1.3018426389487141E11,-26968.22387623669,-13969.216333681017
7603200.0,-1.0962506324046951E11,2.1052526988286368E11,-31461.589461278243,4916.434600977022,-1.102223907804175E11,2.1678478608309314E11,-20676.133779230786,-8991.487637913691,-6.979109669447171E10,1.2895686830815575E11,-26717.81352369736,-14441.970609612481
