timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.2925316890970602E11,7.381989902423772E10,-22342.812602930484,39120.60798588045,6.0697808E10,2.20896624E11,-22447.893142700195,8479.56371307373,1.29246328E11,7.3815992E10,-15247.064590454102,25756.78825378418
86399.99999999937,1.2724347294802458E11,7.677829511893541E10,-23390.964757062007,33952.322386831875,5.875388565432889E10,2.216208400856833E11,-22505.022148055858,8267.923481862932,1.2790820945027515E11,7.60323426448199E10,-15696.239504784346,25495.04582739108
172799.99999999357,1.2520391917490434E11,7.969930236999245E10,-23822.62616068565,33664.623069133646,5.680705817799663E10,2.2232604948852795E11,-22560.09636122954,8056.344790284113,1.2653282638255328E11,7.822353361719376E10,-16140.59084573734,25225.65553723787
259199.99999998775,1.2312689022815674E11,8.25954389826337E10,-24256.27694275846,33374.307730044115,5.485555835016233E10,2.2301297267038715E11,-22613.179361575254,7844.6343202138105,1.251192453820305E11,8.03911102343939E10,-16580.42729103958,24948.428972315345
345600.00000001,1.210125600877871E11,8.546612637499602E10,-24685.657826347422,33075.19211922445,5.2899557969024605E10,2.2368159901836472E11,-22664.27678598029,7632.809931445678,1.2366786264452136E11,8.253439852267271E10,-17015.607593781933,24663.437879749832
432000.0000000333,1.18861380467013E11,8.83105489603948E10,-25109.090028518487,32766.265685469163,5.0939228340263794E10,2.2433191945532053E11,-22713.39439786071,7420.889314094887,1.2217908652703558E11,8.465273082163214E10,-17445.991500485197,24370.756653539906
518400.0000000566,1.1667390647692729E11,9.112785092629306E10,-25525.683850735706,32447.41120267319,4.897474026625725E10,2.2496392642521628E11,-22760.53808377181,7208.889988869008,1.2065333745967029E11,8.674544601258209E10,-17871.43980380807,24070.462326730776
604800.0000000799,1.1445075801574551E11,9.391718017401413E10,-25934.79067705766,32118.788139464177,4.7006264035584854E10,2.255776138784986E11,-22805.713850064127,6996.82930738917,1.1909104785293953E11,8.881188974617671E10,-18291.814395474255,23762.634562453142
691200.0000001031,1.1219260599013441E11,9.667770419138548E10,-26335.86671908435,31780.676758951086,4.5033969412821785E10,2.2617297725750235E11,-22848.927819586115,6784.724452559913,1.1749266200051984E11,9.085141466922343E10,-18706.97831939134,23447.355643809133
777600.0000001264,1.0990016548964479E11,9.940861782637732E10,-26728.42881466322,31433.42476453272,4.305802562861341E10,2.2675001348189017E11,-22890.186228432492,6572.592438986072,1.1585863597740541E11,9.286338065057137E10,-19116.79582493501,23124.710462586558
864000.0000001497,1.0757419137500919E11,1.021091480130981E11,-27112.03783483841,31077.42463846073,4.107860137002999E10,2.2730872093413464E11,-22929.495422738844,6360.450113435571,1.1418943753344202E11,9.48471550059707E10,-19521.13242037114,22794.786506787557
950400.000000173,1.0521547480408331E11,1.0477855709221016E11,-27486.292023887294,30713.102053981453,3.9095864771195526E10,2.2784909944503555E11,-22966.861855523945,6148.314155346323,1.1248554598225182E11,9.68021127218028E10,-19919.85492638447,22457.67384695472
1036800.0000001963,1.0282484013531104E11,1.0741614535340646E11,-27850.824349722734,30340.90882988084,3.710998340418841E10,2.283711502792867E11,-23002.292083577217,5936.201077376059,1.1074745208552374E11,9.872763667757845E10,-20312.8315296871,22113.465121281366
1123200.000000119,1.0040314197562218E11,1.1002125306856754E11,-28205.301573254714,29961.317930568377,3.512112427020762E10,2.2887487612109186E11,-23035.79276439433,5724.127225993564,1.0897565793267024E11,1.0062311786709502E11,-20699.931836675194,21762.255519489932
1209600.0000000258,9.795126227252513E10,1.1259326214062758E11,-28549.42404818189,29574.81945794683,3.3129453791002983E10,2.2936028105983264E11,-23067.37065315932,5512.108782109998,1.0717067681584872E11,1.0248795561814699E11,-21081.026927102106,21404.14276546733
1295999.9999999327,9.547010740970854E10,1.1513159743070093E11,-28882.92578734235,29181.91715926865,3.113513780056366E10,2.2982737057579514E11,-23097.03259977322,5300.161761748801,1.05333033100346E11,1.0432155781068323E11,-21455.989407736455,21039.227098644034
1382399.9999998396,9.296060529423816E10,1.1763572779720792E11,-29205.574563938884,28783.12522803833,2.9138341537060696E10,2.3027615152594995E11,-23124.785545930445,5088.302016752929,1.0346326209032625E11,1.061233410932987E11,-21824.693465973094,20667.611254105366
1468799.9999997464,9.04237024380784E10,1.201051668672408E11,-29517.171927404383,28378.96529357061,2.7139229635041E10,2.3070663212980234E11,-23150.636522241457,4876.545235528336,1.0156190988995067E11,1.0789273109795558E11,-22187.014923362465,20289.40044142405
1555199.9999996533,8.786036104433006E10,1.2253947355419102E11,-29817.55307125583,27969.96355336095,2.513796611786804E10,2.311188219553026E11,-23174.592645403252,4664.906943821837,9.962953325988226E10,1.0962916265281721E11,-22542.831289024925,19904.702322206485
1641599.9999995602,8.52715561124635E10,1.2493825233314278E11,-30106.586522148325,27556.64803228157,2.313471439040356E10,2.3151273190482748E11,-23196.661115415893,4453.402505532586,9.766669946917288E10,1.113320799930867E11,-22892.0218129161,19513.626986341398
